"year","name","homeless_per_100k"
"2012","Arkansas",142.871721604245
"2012","Arizona",172.463728750659
"2012","California",315.581843677701
"2012","Colorado",322.975131030479
"2012","Connecticut",117.12681168797
"2012","District of Columbia",1094.52861608394
"2012","Delaware",109.911797962924
"2012","Florida",285.086503368305
"2012","Georgia",206.863750535788
"2012","Hawaii",448.500367287765
"2012","Iowa",95.1688792564346
"2012","Idaho",123.300776832486
"2012","Illinois",109.854885765754
"2012","Indiana",95.7284963039991
"2012","Kansas",92.9916387212472
"2012","Kentucky",119.333729895518
"2012","Louisiana",168.82161125153
"2012","Massachusetts",262.865399577637
"2012","Maryland",160.489174534948
"2012","Maine",180.075371287874
"2012","Michigan",127.360717168684
"2012","Minnesota",143.928669070558
"2012","Missouri",169.895516829564
"2012","Mississippi",80.8196512663867
"2012","Montana",182.359571688801
"2012","North Carolina",138.750085795445
"2012","North Dakota",97.9687155133746
"2012","Nebraska",204.15167677547
"2012","New Hampshire",113.213858405486
"2012","New Jersey",146.762332796576
"2012","New Mexico",155.651019382269
"2012","Nevada",308.435158921969
"2012","New York",354.802200297945
"2012","Ohio",120.994308843925
"2012","Oklahoma",131.807834026905
"2012","Oregon",405.904021188662
"2012","Pennsylvania",115.370260950839
"2012","Rhode Island",121.342502278141
"2012","South Carolina",104.101779557969
"2012","South Dakota",102.919733391163
"2012","Tennessee",146.015727129973
"2012","Texas",130.51873531439
"2012","Utah",123.479568105091
"2012","Virginia",102.814786680066
"2012","Vermont",185.185776455225
"2012","Washington",297.276090384458
"2012","Wisconsin",105.248966981476
"2012","West Virginia",129.829341754463
"2012","Wyoming",314.167879670063
"2013","Alaska",263.885159782057
"2013","Alabama",97.0700334724967
"2013","Arkansas",128.872732091778
"2013","Arizona",159.286987887885
"2013","California",308.6156218358
"2013","Colorado",185.045641050158
"2013","Connecticut",123.652829114459
"2013","District of Columbia",1056.90180743295
"2013","Delaware",102.231256612341
"2013","Florida",244.262831951489
"2013","Georgia",169.8533222333
"2013","Hawaii",449.684652869712
"2013","Iowa",99.7340425531915
"2013","Idaho",110.430094525929
"2013","Illinois",104.153897954782
"2013","Indiana",92.7780732051872
"2013","Kansas",93.034342903929
"2013","Kentucky",119.245197226327
"2013","Louisiana",112.933769077023
"2013","Massachusetts",283.641957366508
"2013","Maryland",138.223462106051
"2013","Maine",226.975461664778
"2013","Michigan",116.42839264983
"2013","Minnesota",151.534689987586
"2013","Missouri",141.982372411109
"2013","Mississippi",80.3416677365516
"2013","Montana",185.133704389384
"2013","North Carolina",123.590310714654
"2013","North Dakota",285.92118027821
"2013","Nebraska",168.244797517787
"2013","New Hampshire",109.400753027989
"2013","New Jersey",134.742142025088
"2013","New Mexico",135.081389052609
"2013","Nevada",252.26081453114
"2013","New York",393.224692337101
"2013","Ohio",106.504950816748
"2013","Oklahoma",114.392336128697
"2013","Oregon",351.881222903084
"2013","Pennsylvania",118.011166863378
"2013","Rhode Island",131.45197443905
"2013","South Carolina",137.233988564114
"2013","South Dakota",129.426100535923
"2013","Tennessee",146.671941602154
"2013","Texas",111.751874688168
"2013","Utah",112.856594293114
"2013","Virginia",92.2244228414194
"2013","Vermont",231.850225392224
"2013","Washington",254.686423793907
"2013","Wisconsin",106.273829564565
"2013","West Virginia",120.886029838342
"2013","Wyoming",163.428114780384
"2014","Alaska",242.047307766408
"2014","Alabama",94.1108791639834
"2014","Arkansas",98.9606769503528
"2014","Arizona",155.97174110088
"2014","California",293.749085353067
"2014","Colorado",187.243678938709
"2014","Connecticut",123.791227346901
"2014","District of Columbia",1174.2311725944
"2014","Delaware",96.2639748367466
"2014","Florida",208.695365603465
"2014","Georgia",163.620719229975
"2014","Hawaii",487.094941267672
"2014","Iowa",100.40260738046
"2014","Idaho",128.700286150161
"2014","Illinois",101.745130427756
"2014","Indiana",90.4987662703778
